1313,Operation Breakout Case Key
1314,Music Kit
1315,Operation Vanguard Access Pass
1316,Operation Vanguard Challenge Coin
1317,Silver Operation Vanguard Coin
1318,Gold Operation Vanguard Coin
1320,Campaign Maghreb
1321,Campaign Eurasia
1322,Operation Vanguard Case Key
1323,Chroma Case Key
1324,StatTrak&#8482; Swap Tool
1325,Chroma 2 Case Key
1326,Operation Bloodhound Access Pass
1327,Operation Bloodhound Challenge Coin
1328,Silver Operation Bloodhound Coin
1329,Gold Operation Bloodhound Coin
1330,Falchion Case Key
1331,2015 Service Medal
1332,2015 Service Medal
1333,Shadow Case Key
1334,Revolver Case Key
1335,Operation Wildfire Access Pass
1336,Operation Wildfire Challenge Coin
1337,Silver Operation Wildfire Coin
1338,Gold Operation Wildfire Coin
1339,2016 Service Medal
1340,2016 Service Medal
1341,2016 Service Medal
1342,2016 Service Medal
1343,2016 Service Medal
1344,2016 Service Medal
1347,Chroma 3 Case Key
1348,Sealed Graffiti
1349,Graffiti
1350,Gamma Case Key
1351,Gamma 2 Case Key
1352,Operation Hydra Access Pass
1353,Counter-Strike: Global Offensive Game License
1356,Glove Case Key
1357,2017 Service Medal
1358,2017 Service Medal
1359,2017 Service Medal
1360,2017 Service Medal
1361,2017 Service Medal
1362,2017 Service Medal
1363,2017 Service Medal
1364,Spectrum Case Key
1365,Operation Hydra Case Key
1366,Spectrum 2 Case Key
1367,2018 Service Medal
1368,2018 Service Medal
1369,2018 Service Medal
1370,2018 Service Medal
1371,2018 Service Medal
1372,2018 Service Medal
1373,Clutch Case Key
1374,Horizon Case Key
1375,Danger Zone Case Key
1376,2019 Service Medal
1377,2019 Service Medal
1378,2019 Service Medal
1379,2019 Service Medal
1380,2019 Service Medal
1381,2019 Service Medal
1383,Prisma Case Key
1384,Shattered Web Case Key
1385,CS20 Case Key
1386,Prisma 2 Case Key
1387,Fracture Case Key
1388,Operation Broken Fang Case Key
1389,Snakebite Case Key
1390,Operation Riptide Case Key
1391,Dreams &amp; Nightmares Case Key
4001,CS:GO Weapon Case
4002,eSports 2013 Case
4003,Operation Bravo Case
4004,CS:GO Weapon Case 2
4005,eSports 2013 Winter Case
4006,DreamHack 2013 Souvenir Package
4007,Sticker Capsule
4009,Winter Offensive Weapon Case
4010,CS:GO Weapon Case 3
4011,Operation Phoenix Weapon Case
4012,Sticker Capsule 2
4013,EMS One 2014 Souvenir Package
4014,EMS Katowice 2014 Challengers
4015,EMS Katowice 2014 Legends
4016,Community Sticker Capsule 1
4017,Huntsman Weapon Case
4018,Operation Breakout Weapon Case
4019,eSports 2014 Summer Case
4020,ESL One Cologne 2014 Legends
4021,ESL One Cologne 2014 Challengers
4022,ESL One Cologne 2014 Dust II Souvenir Package
4023,ESL One Cologne 2014 Inferno Souvenir Package
4024,ESL One Cologne 2014 Mirage Souvenir Package
4025,ESL One Cologne 2014 Nuke Souvenir Package
4026,ESL One Cologne 2014 Cache Souvenir Package
4027,ESL One Cologne 2014 Cobblestone Souvenir Package
4028,ESL One Cologne 2014 Overpass Souvenir Package
4029,Operation Vanguard Weapon Case
4030,DreamHack 2014 Legends (Holo/Foil)
4031,DreamHack 2014 Dust II Souvenir Package
4032,DreamHack 2014 Inferno Souvenir Package
4033,DreamHack 2014 Mirage Souvenir Package
4034,DreamHack 2014 Nuke Souvenir Package
4035,DreamHack 2014 Cache Souvenir Package
4036,DreamHack 2014 Cobblestone Souvenir Package
4037,DreamHack 2014 Overpass Souvenir Package
4038,Fnatic | DreamHack 2014
4039,Cloud9 | DreamHack 2014
4041,Ninjas in Pyjamas | DreamHack 2014
4042,Virtus.Pro | DreamHack 2014
4043,Natus Vincere | DreamHack 2014
4045,Team Dignitas | DreamHack 2014
4046,Bravado Gaming | DreamHack 2014
4047,ESC Gaming | DreamHack 2014
4048,HellRaisers | DreamHack 2014
4049,myXMG | DreamHack 2014
4050,iBUYPOWER | DreamHack 2014
4051,Team LDLC.com | DreamHack 2014
4052,PENTA Sports | DreamHack 2014
4053,Planetkey Dynamics | DreamHack 2014
4054,DreamHack Winter 2014
4055,3DMAX | DreamHack 2014
4056,Copenhagen Wolves | DreamHack 2014
4057,dAT team | DreamHack 2014
4058,London Conspiracy | DreamHack 2014
4059,mousesports | DreamHack 2014
4060,Flipsid3 Tactics | DreamHack 2014
4061,Chroma Case
4062,3DMAX | Katowice 2015
4063,Cloud9 G2A | Katowice 2015
4064,Counter Logic Gaming | Katowice 2015
4065,Flipsid3 Tactics | Katowice 2015
4066,Fnatic | Katowice 2015
4067,HellRaisers | Katowice 2015
4068,Keyd Stars | Katowice 2015
4069,LGB eSports | Katowice 2015
4070,Natus Vincere | Katowice 2015
4071,Ninjas in Pyjamas  | Katowice 2015
4072,PENTA Sports  | Katowice 2015
4073,Team EnVyUs | Katowice 2015
4074,TSM Kinguin | Katowice 2015
4075,Titan | Katowice 2015
4076,Virtus.pro | Katowice 2015
4077,Vox Eminor  | Katowice 2015
4078,ESL One | Katowice 2015
4079,ESL One Katowice 2015 Dust II Souvenir Package
4080,ESL One Katowice 2015 Inferno Souvenir Package
4081,ESL One Katowice 2015 Mirage Souvenir Package
4082,ESL One Katowice 2015 Nuke Souvenir Package
4083,ESL One Katowice 2015 Cache Souvenir Package
4084,ESL One Katowice 2015 Cobblestone Souvenir Package
4085,ESL One Katowice 2015 Overpass Souvenir Package
4086,ESL One Katowice 2015 Legends (Holo/Foil)
4087,ESL One Katowice 2015 Challengers (Holo/Foil)
4088,StatTrak&#8482; Swap Tool Two-pack
4089,Chroma 2 Case
4090,Enfu Sticker Capsule
4091,Falchion Case
4092,Fnatic | Cologne 2015
4093,Virtus.Pro | Cologne 2015
4094,mousesports | Cologne 2015
4095,Natus Vincere | Cologne 2015
4096,Renegades | Cologne 2015
4097,Team Kinguin | Cologne 2015
4098,Team eBettle | Cologne 2015
4099,Cloud9 G2A | Cologne 2015
4100,Ninjas in Pyjamas | Cologne 2015
4101,Team EnVyUs | Cologne 2015
4102,Luminosity Gaming | Cologne 2015
4103,Team SoloMid | Cologne 2015
4104,Team Immunity | Cologne 2015
4105,Flipsid3 Tactics | Cologne 2015
4106,Titan | Cologne 2015
4107,Counter Logic Gaming | Cologne 2015
4108,ESL | Cologne 2015
4109,ESL One Cologne 2015 Legends (Foil)
4110,ESL One Cologne 2015 Challengers (Foil)
4111,Autograph Capsule | Group A (Foil) | Cologne 2015
4112,Autograph Capsule | Group B (Foil) | Cologne 2015
4113,Autograph Capsule | Group C (Foil) | Cologne 2015
4114,Autograph Capsule | Group D (Foil) | Cologne 2015
4115,Autograph Capsule | Fnatic | Cologne 2015
4116,Autograph Capsule | Luminosity Gaming | Cologne 2015
